source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0009267712518128968,0.09267712518128968,0.009176579462111898,-0.017058993995196364,0.018912536498822158,-1.7058993995196365,1.891253649882216,0.10099310485342973,0.9195559337210071,True,session depth 1,authoritative_ge5m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.004102774939445489,0.41027749394454893,0.00993337224136688,-0.01536627689866351,0.02357182677755449,-1.536627689866351,2.357182677755449,0.413029416370782,0.6795850617203295,True,session depth 1,authoritative_ge5m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.0004375181273086276,0.04375181273086276,0.011372766293195015,-0.021852694211944693,0.022727730466561947,-2.1852694211944694,2.272773046656195,0.03847068655322848,0.9693124029175161,True,session depth 1,authoritative_ge5m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.004422056595383822,0.4422056595383822,0.00842451010491623,-0.01208967979764574,0.020933792988413386,-1.208967979764574,2.0933792988413384,0.5249037083833842,0.5996501313381511,True,session depth 1,authoritative_ge5m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_5-10m,-0.002725253113822614,-0.2725253113822614,0.0069273512302114515,-0.016302612033296297,0.010852105805651067,-1.6302612033296298,1.0852105805651067,-0.39340478391470673,0.6940205368788921,True,<=5m,authoritative_ge5m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_10-20m,-0.015858124361327643,-1.5858124361327643,0.00838916572909004,-0.032300587050681825,0.0005843383280265402,-3.2300587050681826,0.05843383280265402,-1.8903100586436679,0.05871650431010655,True,<=5m,authoritative_ge5m,0.4110155301707458,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_20-30m,-0.010538582118412626,-1.0538582118412627,0.013990138709801316,-0.037958750128342864,0.016881585891517614,-3.795875012834286,1.6881585891517614,-0.7532864639168608,0.4512777911017262,True,<=5m,authoritative_ge5m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_30-60m,-0.02406271630254721,-2.406271630254721,0.012335409884260993,-0.04823967541023815,0.00011424280514372998,-4.823967541023815,0.011424280514372998,-1.9507026137209542,0.0510924322763799,True,<=5m,authoritative_ge5m,0.4087394582110392,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_1-2h,0.0021353261515896045,0.21353261515896044,0.012888785065822682,-0.023126228381900562,0.027396880685079773,-2.312622838190056,2.739688068507977,0.16567319112581602,0.8684141448430627,True,<=5m,authoritative_ge5m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_2-6h,0.005098780522780417,0.5098780522780417,0.011726944268710496,-0.017885607892600557,0.02808316893816139,-1.7885607892600557,2.808316893816139,0.4347919121936002,0.6637134760224828,True,<=5m,authoritative_ge5m,1.0,False,False
