source,depth_bucket_num,n,wins,mean_kda,mean_damage_per_min,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
KR,1,39544,20836,3.961909677507084,684.9729538726514,60,1,0.5269067367995145,0.5219834217621433,0.5318248246933754
KR,7,3554,1910,3.8802138735890157,698.7901156522538,60,7,0.5374226223972988,0.5209987317797454,0.5537657013965912
KR,8,11485,6155,3.8898702841634174,700.0308606981841,60,8+,0.5359164127122333,0.5267851984555058,0.5450236086341417
EU,5,54923,29358,3.86038119153157,741.2064550404247,60,5,0.5345301604063871,0.530356288828527,0.5386992020619087
NA,2,24299,12727,3.924452148362763,708.6903915165335,60,2,0.523766410140335,0.5174835379196541,0.5300417690267398
KR,3,14385,7585,3.8687546147611704,694.4137599249227,60,3,0.5272853667014251,0.5191205699723701,0.5354355944169996
KR,4,9811,5293,3.8846342808956775,699.3054694400066,60,4,0.5394964835388849,0.529620097417675,0.5493419523771792
KR,6,4916,2590,3.752258215471222,699.5201024879615,60,6,0.5268510984540277,0.5128787938999833,0.5407814718239619
NA,5,7168,3721,3.9423061268110766,704.1099941984027,90,5,0.5191127232142857,0.5075390897905299,0.5306658819134953
EU,2,179433,94347,3.870378304205613,726.7069812454756,90,2,0.5258062898129107,0.5234953591388135,0.5281161155433539
KR,1,36258,19154,3.9739334744602175,683.0478030077472,90,1,0.5282696232555574,0.5231285825824423,0.5334046743490348
KR,7,3925,2090,3.87393482261769,698.801815612163,90,7,0.532484076433121,0.5168507465970031,0.5480538830941482
KR,8,13899,7411,3.8717671199566346,702.4652052707828,90,8+,0.5332038276134974,0.5249017452146626,0.5414875610817421
NA,1,40121,20971,3.9194033251067313,704.7397593110818,90,1,0.5226938511004212,0.5178044383006556,0.5275789185873424
NA,7,3846,2017,3.892716001824015,703.0088646745186,90,7,0.5244409776391056,0.5086412868868289,0.540191892871589
NA,8,13952,7362,3.941043845483661,703.8599712327192,90,8+,0.5276662844036697,0.5193759218159916,0.535941416251937
EU,3,117550,62113,3.8480130291497403,730.9687840206753,90,3,0.5283964270523182,0.5255418656980465,0.5312491325130891
EU,4,81641,43202,3.844444023889569,735.5170853393693,90,4,0.5291703923273845,0.5257451803042372,0.5325928593672871
EU,6,43521,23130,3.8541518508142194,738.4481125055092,90,6,0.5314675673812642,0.5267767881614203,0.5361527920092828
KR,5,7264,3884,3.8869380931626876,697.7103067568211,90,5,0.5346916299559471,0.5232058119775101,0.5461407750188688
NA,3,14979,7904,3.914536910115727,715.1214076634778,90,3,0.5276720742372655,0.5196711470043699,0.535658811754017
NA,4,10120,5340,3.9327342926788154,709.4826273618069,90,4,0.5276679841897233,0.5179327066597544,0.5373822646658862
NA,6,5239,2789,4.123491640812244,720.0816676140743,90,6,0.5323535025768277,0.5188238730870021,0.545835720887494
EU,1,302831,158913,3.890652281760453,721.2322686552202,90,1,0.5247580333585399,0.5229791036174399,0.5265363349885205
EU,7,32691,17257,3.843607953199721,740.1296870213615,90,7,0.5278822917622588,0.5224677078644666,0.5332903236371107
EU,8,111672,59131,3.835637858602817,737.2331866486209,90,8+,0.5295060534422237,0.5265776457866308,0.5324324311818064
KR,2,21886,11442,3.8815087775522197,686.7317192997385,90,2,0.5227999634469523,0.5161792100655149,0.5294127144752563
NA,2,23526,12320,3.9200659684011465,709.0744476141659,90,2,0.5236759330102865,0.5172905902275248,0.5300535451738803
EU,5,59020,31546,3.8554174981299645,740.0508855910655,90,5,0.5344967807522873,0.5304704397647364,0.5385186314200139
KR,3,14467,7616,3.8634078248177075,692.9227171487196,90,3,0.5264394829612221,0.5182973561515603,0.5345675724137164
KR,4,10133,5431,3.9001567227927194,698.0947376241143,90,4,0.5359715780124347,0.5262497093675435,0.5456661830691142
KR,6,5281,2780,3.759595575957089,699.3544964497526,90,6,0.5264154516190116,0.5129346833673283,0.5398578180111822
