champion_a_id,champion_a,champion_b_id,champion_b,games_together,pair_win_rate,appearances_a,win_rate_a,appearances_b,win_rate_b,lift,association,win_surplus_pp,pair
234,Viego,267,Nami,3151,0.4966677245318946,43775,0.4845231296402056,66358,0.5089363754181861,0.9502524886684516,-0.07361719644186623,-0.006202799730126163,Viego + Nami
202,Jhin,245,Ekko,3151,0.49920660107902254,56551,0.494880727131262,47481,0.5046018407362945,1.0280123035105677,0.0398575311732907,-0.05346828547557192,Jhin + Ekko
432,Bard,799,Ambessa,3147,0.4918970448045758,46456,0.5078784225934218,53918,0.4855335880410995,1.100604314265481,0.13829588901997655,-0.48089605126848123,Bard + Ambessa
497,Rakan,498,Xayah,3135,0.5237639553429028,30072,0.5008978451715882,15433,0.5103349964362082,5.9174545595204435,2.564976722462853,1.8147534539004528,Rakan + Xayah
126,Jayce,804,Yunara,3129,0.48354106743368486,53037,0.48963930840733827,49114,0.4805147208535245,1.052280111362241,0.07351879349120558,-0.15359471967465455,Jayce + Yunara
51,Caitlyn,131,Diana,3112,0.5125321336760925,47481,0.49103852067142645,51789,0.5078684662766224,1.1086443839815765,0.1487966714136426,1.307864020206806,Caitlyn + Diana
131,Diana,901,Smolder,3109,0.5008041170794467,51789,0.5078684662766224,45511,0.4903649667113445,1.1555184226700488,0.20854026117538083,0.1687400585463239,Diana + Smolder
59,JarvanIV,267,Nami,3103,0.4933934901708025,39630,0.5032551097653293,66358,0.5089363754181861,1.0336522885212889,0.04775095742224957,-1.270225242095524,JarvanIV + Nami
111,Nautilus,157,Yasuo,3101,0.4979039019671074,51925,0.4958883004333173,48865,0.5000716259081142,1.0706250813051847,0.09845335587012179,-0.007606120360831303,Nautilus + Yasuo
131,Diana,236,Lucian,3096,0.5032299741602068,51789,0.5078684662766224,47458,0.49201399131863965,1.1034789427873453,0.142059099553072,0.3288745362575729,Diana + Lucian
145,Kaisa,267,Nami,3090,0.49385113268608416,75494,0.48803878453916866,66358,0.5089363754181861,0.540334639411471,-0.8880749226291041,-0.4636447292593271,Kaisa + Nami
202,Jhin,267,Nami,3088,0.49384715025906734,56551,0.494880727131262,66358,0.5089363754181861,0.7208647179302365,-0.472199555370667,-0.8061401015656777,Jhin + Nami
267,Nami,800,Mel,3084,0.4795719844357977,66358,0.5089363754181861,39452,0.4637534218797526,1.0319582139196806,0.04538455429667017,-0.6772914213171666,Nami + Mel
21,MissFortune,134,Syndra,3082,0.5295262816353018,56217,0.5084227191063202,47966,0.513738898386357,1.0012476752209327,0.0017988928700650635,1.8445472888963255,MissFortune + Syndra
201,Braum,804,Yunara,3063,0.5200783545543585,36005,0.5091515067351756,49114,0.4805147208535245,1.5173610475670825,0.6015644076411207,2.5245240760008447,Braum + Yunara
43,Karma,126,Jayce,3056,0.47513089005235604,50106,0.49706621961441744,53037,0.48963930840733827,1.007383238873596,0.010612632341505893,-1.8221873958521817,Karma + Jayce
81,Ezreal,799,Ambessa,3037,0.4530786960816595,46856,0.4734505719651699,53918,0.4855335880410995,1.053066656661106,0.07459675848218462,-2.6413383921475186,Ezreal + Ambessa
67,Vayne,267,Nami,3033,0.5291790306627102,38762,0.5048243124709767,66358,0.5089363754181861,1.0329588011999193,0.046782714522568096,2.2298686718128735,Vayne + Nami
43,Karma,799,Ambessa,3030,0.4891089108910891,50106,0.49706621961441744,53918,0.4855335880410995,0.9824923452795301,-0.02548192768943279,-0.2190992936669356,Karma + Ambessa
21,MissFortune,432,Bard,3025,0.5219834710743801,56217,0.5084227191063202,46456,0.5078784225934218,1.0146726525000747,0.021014369000756514,1.3832900224509115,MissFortune + Bard
21,MissFortune,266,Aatrox,3025,0.4783471074380165,56217,0.5084227191063202,42502,0.48522422474236504,1.1090685789973052,0.14934857696971868,-1.8476364486326113,MissFortune + Aatrox
246,Qiyana,267,Nami,3011,0.5237462636997675,42017,0.5131970392936193,66358,0.5089363754181861,0.9460247139844983,-0.0800502218119632,1.267955634386475,Qiyana + Nami
134,Syndra,202,Jhin,3009,0.5041542040545032,47966,0.513738898386357,56551,0.494880727131262,0.971758730154442,-0.04132993127946938,-0.015560870430630924,Syndra + Jhin
40,Janna,517,Sylas,3008,0.5016622340425532,37879,0.5149819161012699,70160,0.4948973774230331,0.991516171203854,-0.012291792503483953,-0.32774127195982494,Janna + Sylas
18,Tristana,111,Nautilus,3002,0.5066622251832112,39700,0.5080856423173804,51925,0.4958883004333173,1.2757152034578063,0.3513062911572981,0.46752538078623784,Tristana + Nautilus
21,MissFortune,59,JarvanIV,2979,0.5146022155085599,56217,0.5084227191063202,39630,0.5032551097653293,1.171355767677421,0.2281793220483104,0.8763301072735152,MissFortune + JarvanIV
81,Ezreal,267,Nami,2977,0.48303661404098086,46856,0.4734505719651699,66358,0.5089363754181861,0.8387458626114341,-0.25369435012260455,-0.8156859650697124,Ezreal + Nami
202,Jhin,904,Zaahen,2977,0.4964729593550554,56551,0.494880727131262,44620,0.5074181981174362,1.03352035652344,0.04756680479257377,-0.4676503269293697,Jhin + Zaahen
111,Nautilus,131,Diana,2977,0.5068861269734632,51925,0.4958883004333173,51789,0.5078684662766224,0.9697836537248059,-0.04426515842359634,0.5007743618493432,Nautilus + Diana
54,Malphite,517,Sylas,2975,0.5015126050420168,44701,0.49649895975481534,70160,0.4948973774230331,0.8309793015428473,-0.2671155528296351,0.5814436453092542,Malphite + Sylas
54,Malphite,202,Jhin,2939,0.4882613133718952,44701,0.49649895975481534,56551,0.494880727131262,1.0184790818738465,0.026416349683500557,-0.7428530071143469,Malphite + Jhin
126,Jayce,432,Bard,2928,0.49556010928961747,53037,0.48963930840733827,46456,0.5078784225934218,1.0410230945051278,0.05800207436109833,-0.31987562107625434,Jayce + Bard
103,Ahri,145,Kaisa,2926,0.48735475051264526,36076,0.5071238496507373,75494,0.48803878453916866,0.9411385482324645,-0.08752097221574083,-1.022656658230775,Ahri + Kaisa
111,Nautilus,238,Zed,2919,0.5029119561493662,51925,0.4958883004333173,49101,0.506710657624081,1.0029454396990976,0.004243125375295348,0.1612477120667144,Nautilus + Zed
202,Jhin,238,Zed,2915,0.48404802744425385,56551,0.494880727131262,49101,0.506710657624081,0.9196402869994249,-0.12085842680736557,-1.6747664933417672,Jhin + Zed
84,Akali,267,Nami,2908,0.5089408528198074,40501,0.4955186291696501,66358,0.5089363754181861,0.9478626774292571,-0.0772500325382441,0.6713350525889283,Akali + Nami
126,Jayce,134,Syndra,2896,0.4910220994475138,53037,0.48963930840733827,47966,0.513738898386357,0.9972318925105842,-0.003999072435895905,-1.0667003949333786,Jayce + Syndra
67,Vayne,517,Sylas,2891,0.5060532687651331,38762,0.5048243124709767,70160,0.4948973774230331,0.931241645284144,-0.10277251763186063,0.6192423818128234,Vayne + Sylas
22,Ashe,201,Braum,2880,0.5284722222222222,38326,0.5065229870062099,36005,0.5091515067351756,1.8282948360125233,0.8704987422526804,2.063497535152947,Ashe + Braum
91,Talon,267,Nami,2880,0.5322916666666667,36389,0.5061694468108494,66358,0.5089363754181861,1.044814362630668,0.06324663426499201,2.4738755552148883,Talon + Nami
51,Caitlyn,267,Nami,2878,0.5083391243919388,47481,0.49103852067142645,66358,0.5089363754181861,0.8001800138520797,-0.32160350004111493,0.835167634713252,Caitlyn + Nami
21,MissFortune,245,Ekko,2864,0.522695530726257,56217,0.5084227191063202,47481,0.5046018407362945,0.9399300750687225,-0.08937466161190623,1.6183250804949645,MissFortune + Ekko
43,Karma,131,Diana,2858,0.4902029391182645,50106,0.49706621961441744,51789,0.5078684662766224,0.9648171630646881,-0.051672523420431916,-1.2264403827255466,Karma + Diana
103,Ahri,267,Nami,2855,0.508231173380035,36076,0.5071238496507373,66358,0.5089363754181861,1.0447310480945113,0.06313158774090688,0.02010608455732532,Ahri + Nami
202,Jhin,234,Viego,2855,0.46654991243432575,56551,0.494880727131262,43775,0.4845231296402056,1.0102985371730129,0.01478166372796334,-2.3152015951408034,Jhin + Viego
111,Nautilus,245,Ekko,2851,0.5050859347597334,51925,0.4958883004333173,47481,0.5046018407362945,1.0130034172146418,0.018639040861955457,0.48408641749274617,Nautilus + Ekko
111,Nautilus,134,Syndra,2851,0.5050859347597334,51925,0.4958883004333173,47966,0.513738898386357,1.0027606065289667,0.003977226093398197,0.027233534989623553,Nautilus + Syndra
202,Jhin,266,Aatrox,2849,0.4914004914004914,56551,0.494880727131262,42502,0.48522422474236504,1.0383717128141645,0.05432298727616459,0.1348015463677854,Jhin + Aatrox
236,Lucian,799,Ambessa,2830,0.4734982332155477,47458,0.49201399131863965,53918,0.4855335880410995,0.9688427294531224,-0.04566560040559149,-1.5275556464321882,Lucian + Ambessa
61,Orianna,799,Ambessa,2824,0.5014164305949008,38055,0.4959926422283537,53918,0.4855335880410995,1.205672199669967,0.26983771802296486,1.0653315460174229,Orianna + Ambessa
266,Aatrox,267,Nami,2818,0.49680624556423,42502,0.48522422474236504,66358,0.5089363754181861,0.8752827894218417,-0.1921788916752138,-0.02740545160456187,Aatrox + Nami
67,Vayne,131,Diana,2797,0.5033964962459778,38762,0.5048243124709767,51789,0.5078684662766224,1.2205591176436277,0.2875421735834522,-0.294989312782179,Vayne + Diana
126,Jayce,236,Lucian,2794,0.49606299212598426,53037,0.48963930840733827,47458,0.49201399131863965,0.9724069957489493,-0.0403678223598696,0.5236342262995297,Jayce + Lucian
134,Syndra,234,Viego,2786,0.5265613783201722,47966,0.513738898386357,43775,0.4845231296402056,1.162335519736722,0.21702657716778836,2.743036430689094,Syndra + Viego
