champion_id,champion_name,team_position,appearances
133,Quinn,BOTTOM,238
133,Quinn,JUNGLE,44
133,Quinn,MIDDLE,3940
133,Quinn,TOP,7733
133,Quinn,UTILITY,267
134,Syndra,BOTTOM,2628
134,Syndra,JUNGLE,6
134,Syndra,MIDDLE,44524
134,Syndra,TOP,507
134,Syndra,UTILITY,301
136,AurelionSol,BOTTOM,3339
136,AurelionSol,JUNGLE,68
136,AurelionSol,MIDDLE,9078
136,AurelionSol,TOP,475
136,AurelionSol,UTILITY,159
141,Kayn,BOTTOM,6
141,Kayn,JUNGLE,16019
141,Kayn,MIDDLE,153
141,Kayn,TOP,1392
141,Kayn,UTILITY,28
142,Zoe,BOTTOM,234
142,Zoe,JUNGLE,7
142,Zoe,MIDDLE,18627
142,Zoe,TOP,867
142,Zoe,UNKNOWN,2
142,Zoe,UTILITY,4069
143,Zyra,BOTTOM,1851
143,Zyra,JUNGLE,6028
143,Zyra,MIDDLE,532
143,Zyra,TOP,70
143,Zyra,UTILITY,7757
145,Kaisa,BOTTOM,73812
145,Kaisa,JUNGLE,171
145,Kaisa,MIDDLE,853
145,Kaisa,TOP,634
145,Kaisa,UTILITY,24
147,Seraphine,BOTTOM,4828
147,Seraphine,JUNGLE,13
147,Seraphine,MIDDLE,1410
147,Seraphine,TOP,31
147,Seraphine,UTILITY,13969
150,Gnar,BOTTOM,8
150,Gnar,JUNGLE,31
150,Gnar,MIDDLE,85
150,Gnar,TOP,13907
150,Gnar,UTILITY,12
154,Zac,BOTTOM,52
154,Zac,JUNGLE,13792
154,Zac,MIDDLE,1977
154,Zac,TOP,3375
154,Zac,UTILITY,1412
157,Yasuo,BOTTOM,7537
157,Yasuo,JUNGLE,32
157,Yasuo,MIDDLE,28549
157,Yasuo,TOP,12692
157,Yasuo,UTILITY,55
161,Velkoz,BOTTOM,3459
161,Velkoz,JUNGLE,2
161,Velkoz,MIDDLE,8226
161,Velkoz,TOP,502
161,Velkoz,UTILITY,9287
163,Taliyah,BOTTOM,547
163,Taliyah,JUNGLE,5611
163,Taliyah,MIDDLE,16924
163,Taliyah,TOP,327
163,Taliyah,UTILITY,742
164,Camille,BOTTOM,22
164,Camille,JUNGLE,144
164,Camille,MIDDLE,368
164,Camille,TOP,15200
164,Camille,UTILITY,1524
166,Akshan,BOTTOM,549
166,Akshan,JUNGLE,14
166,Akshan,MIDDLE,19729
166,Akshan,TOP,1400
166,Akshan,UTILITY,95
200,Belveth,BOTTOM,5
200,Belveth,JUNGLE,11924
200,Belveth,MIDDLE,53
200,Belveth,TOP,157
200,Belveth,UTILITY,50
201,Braum,BOTTOM,5
201,Braum,JUNGLE,2
201,Braum,MIDDLE,6
201,Braum,TOP,19
201,Braum,UTILITY,35973
202,Jhin,BOTTOM,55632
202,Jhin,JUNGLE,37
202,Jhin,MIDDLE,434
202,Jhin,TOP,296
202,Jhin,UTILITY,152
203,Kindred,BOTTOM,159
203,Kindred,JUNGLE,12656
203,Kindred,MIDDLE,76
203,Kindred,TOP,37
203,Kindred,UTILITY,12
221,Zeri,BOTTOM,17406
221,Zeri,JUNGLE,111
221,Zeri,MIDDLE,452
221,Zeri,TOP,219
221,Zeri,UNKNOWN,1
221,Zeri,UTILITY,6
222,Jinx,BOTTOM,42262
222,Jinx,JUNGLE,14
222,Jinx,MIDDLE,94
222,Jinx,TOP,17
222,Jinx,UTILITY,10
223,TahmKench,BOTTOM,280
223,TahmKench,JUNGLE,16
223,TahmKench,MIDDLE,157
223,TahmKench,TOP,3554
223,TahmKench,UTILITY,4560
233,Briar,BOTTOM,14
233,Briar,JUNGLE,9389
233,Briar,MIDDLE,389
233,Briar,TOP,635
233,Briar,UTILITY,73
234,Viego,BOTTOM,146
234,Viego,JUNGLE,42110
234,Viego,MIDDLE,946
234,Viego,TOP,480
234,Viego,UTILITY,93
235,Senna,BOTTOM,2421
235,Senna,JUNGLE,3
235,Senna,MIDDLE,29
235,Senna,TOP,183
235,Senna,UTILITY,18712
236,Lucian,BOTTOM,45833
236,Lucian,JUNGLE,10
236,Lucian,MIDDLE,1219
236,Lucian,TOP,384
236,Lucian,UNKNOWN,1
236,Lucian,UTILITY,11
238,Zed,BOTTOM,57
238,Zed,JUNGLE,24190
238,Zed,MIDDLE,22813
238,Zed,TOP,1924
238,Zed,UTILITY,117
240,Kled,BOTTOM,58
240,Kled,JUNGLE,14
240,Kled,MIDDLE,538
240,Kled,TOP,9294
240,Kled,UNKNOWN,1
240,Kled,UTILITY,55
245,Ekko,BOTTOM,309
245,Ekko,JUNGLE,27601
245,Ekko,MIDDLE,18399
245,Ekko,TOP,947
245,Ekko,UTILITY,225
246,Qiyana,BOTTOM,135
246,Qiyana,JUNGLE,27008
246,Qiyana,MIDDLE,13639
246,Qiyana,TOP,979
246,Qiyana,UTILITY,256
254,Vi,BOTTOM,6
254,Vi,JUNGLE,10257
254,Vi,MIDDLE,223
254,Vi,TOP,332
254,Vi,UTILITY,209
266,Aatrox,BOTTOM,27
266,Aatrox,JUNGLE,15849
266,Aatrox,MIDDLE,651
266,Aatrox,TOP,25872
266,Aatrox,UNKNOWN,2
266,Aatrox,UTILITY,101
267,Nami,BOTTOM,11
267,Nami,MIDDLE,37
267,Nami,TOP,11
267,Nami,UNKNOWN,1
267,Nami,UTILITY,66298
268,Azir,BOTTOM,77
268,Azir,JUNGLE,1
268,Azir,MIDDLE,11801
268,Azir,TOP,878
268,Azir,UNKNOWN,1
268,Azir,UTILITY,28
350,Yuumi,BOTTOM,27
350,Yuumi,JUNGLE,14
350,Yuumi,MIDDLE,30
350,Yuumi,TOP,50
350,Yuumi,UTILITY,13848
360,Samira,BOTTOM,14253
360,Samira,JUNGLE,6
360,Samira,MIDDLE,125
360,Samira,TOP,85
360,Samira,UNKNOWN,1
360,Samira,UTILITY,5
412,Thresh,BOTTOM,6
412,Thresh,JUNGLE,5
412,Thresh,MIDDLE,18
412,Thresh,TOP,44
412,Thresh,UTILITY,41385
420,Illaoi,BOTTOM,8
420,Illaoi,JUNGLE,5
420,Illaoi,MIDDLE,255
420,Illaoi,TOP,6529
420,Illaoi,UNKNOWN,1
420,Illaoi,UTILITY,27
421,RekSai,BOTTOM,10
421,RekSai,JUNGLE,14169
421,RekSai,MIDDLE,162
421,RekSai,TOP,3818
421,RekSai,UTILITY,134
427,Ivern,BOTTOM,37
427,Ivern,JUNGLE,9898
427,Ivern,MIDDLE,353
427,Ivern,TOP,622
427,Ivern,UTILITY,736
429,Kalista,BOTTOM,6414
429,Kalista,JUNGLE,4
429,Kalista,MIDDLE,207
429,Kalista,TOP,235
429,Kalista,UTILITY,25
432,Bard,BOTTOM,16
432,Bard,JUNGLE,11
432,Bard,MIDDLE,60
432,Bard,TOP,491
432,Bard,UNKNOWN,1
432,Bard,UTILITY,45877
497,Rakan,BOTTOM,7
497,Rakan,MIDDLE,130
497,Rakan,TOP,32
497,Rakan,UTILITY,29903
498,Xayah,BOTTOM,15341
498,Xayah,JUNGLE,4
498,Xayah,MIDDLE,47
498,Xayah,TOP,39
498,Xayah,UTILITY,2
516,Ornn,BOTTOM,34
516,Ornn,JUNGLE,764
516,Ornn,MIDDLE,494
516,Ornn,TOP,17428
516,Ornn,UNKNOWN,1
516,Ornn,UTILITY,287
517,Sylas,BOTTOM,74
517,Sylas,JUNGLE,34084
517,Sylas,MIDDLE,28165
517,Sylas,TOP,4001
517,Sylas,UTILITY,3836
518,Neeko,BOTTOM,151
518,Neeko,JUNGLE,530
518,Neeko,MIDDLE,3012
518,Neeko,TOP,736
518,Neeko,UTILITY,17275
523,Aphelios,BOTTOM,41730
523,Aphelios,JUNGLE,6
523,Aphelios,MIDDLE,200
523,Aphelios,TOP,172
523,Aphelios,UNKNOWN,1
523,Aphelios,UTILITY,4
526,Rell,BOTTOM,1
526,Rell,JUNGLE,4
526,Rell,MIDDLE,5
526,Rell,TOP,40
526,Rell,UNKNOWN,1
526,Rell,UTILITY,25870
555,Pyke,BOTTOM,73
555,Pyke,JUNGLE,9
555,Pyke,MIDDLE,383
555,Pyke,TOP,40
555,Pyke,UNKNOWN,1
555,Pyke,UTILITY,27745
711,Vex,BOTTOM,42
711,Vex,JUNGLE,2
711,Vex,MIDDLE,9167
711,Vex,TOP,241
711,Vex,UTILITY,240
777,Yone,BOTTOM,270
777,Yone,JUNGLE,69
777,Yone,MIDDLE,19535
777,Yone,TOP,14851
777,Yone,UTILITY,26
799,Ambessa,BOTTOM,38
799,Ambessa,JUNGLE,15707
799,Ambessa,MIDDLE,2818
799,Ambessa,TOP,35316
799,Ambessa,UNKNOWN,2
799,Ambessa,UTILITY,37
800,Mel,BOTTOM,10949
800,Mel,JUNGLE,4
800,Mel,MIDDLE,22635
800,Mel,TOP,325
800,Mel,UNKNOWN,1
800,Mel,UTILITY,5538
804,Yunara,BOTTOM,48781
804,Yunara,JUNGLE,3
804,Yunara,MIDDLE,195
804,Yunara,TOP,127
804,Yunara,UTILITY,8
875,Sett,BOTTOM,159
875,Sett,JUNGLE,139
875,Sett,MIDDLE,451
875,Sett,TOP,15354
875,Sett,UNKNOWN,1
875,Sett,UTILITY,356
876,Lillia,BOTTOM,4
876,Lillia,JUNGLE,10880
876,Lillia,MIDDLE,19
876,Lillia,TOP,110
876,Lillia,UTILITY,7
887,Gwen,BOTTOM,56
887,Gwen,JUNGLE,11469
887,Gwen,MIDDLE,1485
887,Gwen,TOP,16412
887,Gwen,UTILITY,6
888,Renata,BOTTOM,12
888,Renata,MIDDLE,6
888,Renata,TOP,1
888,Renata,UNKNOWN,1
888,Renata,UTILITY,5971
893,Aurora,BOTTOM,423
893,Aurora,JUNGLE,8
893,Aurora,MIDDLE,15394
893,Aurora,TOP,6249
893,Aurora,UTILITY,88
895,Nilah,BOTTOM,7984
895,Nilah,JUNGLE,24
895,Nilah,MIDDLE,42
895,Nilah,TOP,70
895,Nilah,UNKNOWN,1
895,Nilah,UTILITY,6
897,KSante,BOTTOM,70
897,KSante,JUNGLE,24
897,KSante,MIDDLE,774
897,KSante,TOP,23386
897,KSante,UTILITY,293
901,Smolder,BOTTOM,38165
901,Smolder,JUNGLE,1
901,Smolder,MIDDLE,5522
901,Smolder,TOP,1806
901,Smolder,UTILITY,17
902,Milio,BOTTOM,5
902,Milio,JUNGLE,3
902,Milio,MIDDLE,18
902,Milio,TOP,9
902,Milio,UNKNOWN,1
902,Milio,UTILITY,33040
904,Zaahen,BOTTOM,59
