champion_id,champion_name,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
150,Gnar,2.221157289879279,-0.18763765729730844,1,2,0
154,Zac,0.5634036999648152,0.2828568218671674,1,2,0
157,Yasuo,-18.645312979925116,9.520561155319857,2,1,-1
161,Velkoz,2.250228324277778,-2.6243283151179666,1,2,0
163,Taliyah,1.5228508064389117,-1.1828302731651896,1,2,0
164,Camille,2.286798970054709,0.009467222886067904,1,2,0
166,Akshan,2.0399635392186317,5.632839353526271,1,2,0
200,Belveth,2.7614854299103944,-0.5853655693385595,1,2,0
201,Braum,-0.4243032567157363,0.4442154038944642,1,2,0
202,Jhin,3.3186333554769174,2.3737126655747165,1,2,0
203,Kindred,3.3890037133596635,-0.12565128760983485,1,2,0
221,Zeri,2.3047346226249523,-0.8006637155626487,1,2,0
222,Jinx,1.444398850990875,0.2708962790608167,1,2,-1
223,TahmKench,2.632978779748925,-1.082174522091404,1,2,0
233,Briar,2.634700560630518,-1.208778933199431,1,2,0
234,Viego,0.8286663555740271,6.108712415159436,1,2,0
235,Senna,3.859654857082433,1.2596833935595029,1,2,0
236,Lucian,-3.0489531866329638,-1.7653673451533252,1,2,-1
238,Zed,-13.731018548406869,5.529739283974908,2,1,-1
240,Kled,2.585517735064125,-0.8497390086790728,1,2,0
245,Ekko,-22.283861099524174,-10.186240173325983,2,1,-1
246,Qiyana,-6.057204080984508,3.427226879038997,1,2,0
254,Vi,2.9774994891554893,-0.7306509605033862,1,2,0
266,Aatrox,-8.241940335084863,9.602232662975286,2,1,0
267,Nami,-1.188859050174045,-1.9252610102471344,1,2,-1
268,Azir,2.7729418559104793,-1.1957262171857819,1,2,0
350,Yuumi,2.863142069515338,-1.439190397585312,1,2,0
360,Samira,2.110041118472563,-0.5565876622528672,1,2,0
412,Thresh,-0.9019973752861419,-1.9305170037566983,1,2,0
421,RekSai,2.811907546523478,1.283369311199718,1,2,0
427,Ivern,3.226364564450486,-1.6279642887505716,1,2,0
429,Kalista,2.5505294225889443,-0.9421793211185625,1,2,0
432,Bard,-0.5894523121268518,-1.8782337586689162,1,2,0
497,Rakan,-0.30893530334376473,-0.3155467705081128,1,2,0
498,Xayah,2.4740678368430022,-0.7695254597795191,1,2,0
516,Ornn,2.1818828777934343,-0.8937182650693453,1,2,0
517,Sylas,-31.221553519775295,-19.18229245174001,2,1,-1
518,Neeko,2.109254345748414,-1.5346253106559196,1,2,0
523,Aphelios,-0.8987593998321279,-1.1758003701541457,1,2,0
526,Rell,1.4253350318295466,0.5465624189266645,1,2,0
555,Pyke,0.686616651739238,1.1460701640323394,1,2,0
711,Vex,2.645175136855642,-1.01825160679465,1,2,0
777,Yone,-11.286637825208022,6.727050971160415,2,1,-1
799,Ambessa,-12.289843835874223,8.009614543819499,2,1,-1
800,Mel,-3.260630780056577,-5.7582278206715465,1,2,0
804,Yunara,-1.8675362424487572,-2.8772220874474974,1,2,0
875,Sett,2.155657377627515,-0.4076325306771021,1,2,0
876,Lillia,2.6875311613589874,-1.4701422738957852,1,2,0
887,Gwen,-4.1438653074087455,-1.142742915805827,1,2,0
893,Aurora,2.4963191816473027,0.11758196615191632,1,2,0
895,Nilah,2.875920894681996,-1.1736641333528346,1,2,0
897,KSante,1.0356336908073829,1.499421972065019,1,2,0
901,Smolder,-1.3095387718128657,1.864437082507515,1,2,-1
902,Milio,0.9976793179834079,-0.692748570614271,1,2,0
904,Zaahen,-7.284489725975524,6.294643804413677,2,1,0
910,Hwei,2.9213165031028483,-0.954478815773658,1,2,0
950,Naafiri,-1.4919874922736578,3.4390352547760608,1,2,0
