source,volume_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,window_hours,recent_games,win_rate,win_rate_ci_low,win_rate_ci_high
NA,2,16369,8560,3.8862703643423115,2.5,711.0364904087988,6.07069594870359,412.7677684259539,6,2,0.5229397030973181,0.5152836659483666,0.530584975844131
KR,3,12005,6364,3.8676777146735644,2.5,696.0931827357715,6.01078609293277,411.8656501311876,6,3,0.5301124531445232,0.521176370955816,0.5390292702360698
KR,4,9348,4992,3.895390113498677,2.5714285714285716,699.3735423612986,6.032605396223476,413.01921612092576,6,4,0.5340179717586649,0.5238937350683801,0.5441142613032994
KR,6,20598,11004,3.8742647877050795,2.5,701.2514586305791,6.097629511518754,415.59803039797004,6,6+,0.5342266239440723,0.5274087012909149,0.5410317826735082
EU,2,118849,62620,3.847134474313354,2.5,728.9739770640608,6.154690000027805,421.2306060899334,12,2,0.5268870583681815,0.5240477180535104,0.5297246606423269
NA,5,7250,3839,4.01132564335656,2.6,717.2548943290675,6.128010224287431,417.0583367840718,12,5,0.5295172413793103,0.518015409797768,0.5409878097280117
NA,0,27575,14473,3.929495870570544,2.5,704.9588567481403,6.018138931936956,410.39748613487734,12,0,0.524859474161378,0.5189622478546787,0.5307497751121708
KR,1,18439,9696,3.916677589379754,2.5555555555555554,685.2604849623132,5.975595178095793,408.3187536980797,12,1,0.5258419653994252,0.5186300979932863,0.5330430675613744
EU,1,149513,78575,3.86756829137466,2.5,724.5256915381166,6.109818458795921,419.0863891839543,12,1,0.5255395851865724,0.5230078496783124,0.5280700083441456
NA,3,11801,6213,3.899960328907975,2.5,709.575250620757,6.096976699228383,414.6873890851258,12,3,0.5264808067112956,0.5174652286294673,0.5354791503509885
NA,4,9300,4862,3.8926254815621517,2.5,711.1566817979491,6.09169743493604,414.6269390217554,12,4,0.5227956989247312,0.5126370051659144,0.5329355684722594
NA,6,27119,14275,3.959357926529712,2.5,700.1133125768637,6.056325020993974,414.02417117023657,12,6+,0.5263837162137247,0.5204378087872584,0.5323221500899343
KR,2,14493,7684,3.9105963691639003,2.5555555555555554,689.3275096500465,5.999534723906435,410.29278782972654,12,2,0.530186986821224,0.5220546370380231,0.538303338351685
EU,0,189199,99389,3.890844685646116,2.5,716.5658024157133,6.057481347068293,416.5690135733272,12,0,0.5253146158277792,0.5230640270995214,0.5275641766110705
EU,5,62687,33154,3.8621556043859826,2.5,734.6496821877521,6.205169752475565,424.61093844321346,12,5,0.5288815862938089,0.524972394255564,0.5327872388222357
NA,2,15371,8049,3.91349267884015,2.5,712.6680960103145,6.075973715717849,413.0209137941187,12,2,0.5236484288595407,0.5157479845157619,0.5315370559152023
KR,3,11475,6051,3.859113606728751,2.5,695.7901657625189,5.993957764212129,411.1131257448388,12,3,0.5273202614379084,0.5181779809226581,0.5364442561950253
KR,4,9138,4845,3.902168918563063,2.5714285714285716,697.4381121120504,6.005975160821639,412.67810105282507,12,4,0.5302035456336178,0.5199600970499085,0.5404216107806721
KR,6,28634,15196,3.854221586269511,2.5,700.192954600133,6.098988729498414,414.8796771753929,12,6+,0.5306977718795837,0.5249136519369267,0.5364736562695204
EU,3,96096,50789,3.847072966382451,2.5,731.6885251560868,6.172923185242864,422.95760480328886,12,3,0.5285235597735598,0.5253663326487057,0.5316785065183711
EU,4,77952,41313,3.861048490049419,2.5,737.506345322855,6.2001896670570416,424.4306959396969,12,4,0.5299799876847291,0.5264749330169741,0.53348208768261
EU,6,234063,123799,3.8611589559162347,2.5,737.9523055286925,6.207548004741265,426.60094287726355,12,6+,0.5289131558597472,0.5268904966043968,0.5309348660810786
NA,1,20535,10713,3.9219037134086157,2.5,712.1657871850989,6.021496488797983,412.03653208675786,12,1,0.5216946676406136,0.5148590323928975,0.5285221876134211
KR,0,23591,12492,4.014000179095541,2.625,679.8410030100533,5.934818255454681,406.8388643962924,12,0,0.5295239710058921,0.523150457571253,0.5358878708884299
KR,5,7343,3844,3.7674682596222513,2.5,693.3279163203342,6.012985210185722,411.59037569820185,12,5,0.5234917608606836,0.5120588981895434,0.5349000571566059
EU,2,80884,42446,3.8415228248376474,2.5,724.0627785219061,6.045185019944422,417.50118563954516,24,2,0.5247762227387369,0.5213335866987112,0.5282165054747885
KR,1,12308,6554,3.96763231158483,2.5714285714285716,682.0846236512801,5.914626014307729,407.3184063473261,24,1,0.532499187520312,0.5236757680905124,0.5413023265897801
NA,5,7973,4188,3.9289879932563707,2.6,715.8488384244531,6.128343745580228,415.72015743482274,24,5,0.5252727956854384,0.5143022187432571,0.5362190310622492
NA,0,15284,7971,3.86086046145083,2.5,706.1544461782661,5.977684351120418,409.3456987752759,24,0,0.5215257785919917,0.5136018815732698,0.5294388578124957
EU,1,89348,47079,3.8493774541309618,2.5,721.9427617899935,5.996534182472601,415.8926022053307,24,1,0.5269172225455522,0.5236423860213116,0.5301897445925466
KR,2,10726,5631,3.895003773904544,2.5,680.9393531923236,5.922578713003907,406.56869361427647,24,2,0.5249860152899497,0.5155282254634826,0.5344259143117488
