source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
EU,6,43521,23130,3.854151850814224,2.5,738.4481125055079,6.213193908308714,425.99732915805964,ranked_420_plus_440,90,6,0.5314675673812642,0.5267767881614203,0.5361527920092828
KR,5,7264,3884,3.8869380931626876,2.5,697.7103067568213,6.021518271328746,412.53634058460796,ranked_420_plus_440,90,5,0.5346916299559471,0.5232058119775101,0.5461407750188688
NA,3,14979,7904,3.9145369101157237,2.5,715.1214076634781,6.062369977862956,413.64148842895014,ranked_420_plus_440,90,3,0.5276720742372655,0.5196711470043699,0.535658811754017
NA,4,10120,5340,3.9327342926788216,2.5,709.4826273618081,6.044508699539252,413.8890705418698,ranked_420_plus_440,90,4,0.5276679841897233,0.5179327066597544,0.5373822646658862
NA,6,5239,2789,4.123491640812242,2.6,720.0816676140738,6.148694551763807,418.3275233349707,ranked_420_plus_440,90,6,0.5323535025768277,0.5188238730870021,0.545835720887494
EU,1,302831,158913,3.8906522817604765,2.5,721.2322686552197,6.085107864783224,418.2612284712093,ranked_420_plus_440,90,1,0.5247580333585399,0.5229791036174399,0.5265363349885205
EU,7,32691,17257,3.8436079531997205,2.5,740.1296870213603,6.241056404349172,426.8057639866969,ranked_420_plus_440,90,7,0.5278822917622588,0.5224677078644666,0.5332903236371107
EU,8,111672,59131,3.8356378586028117,2.5,737.2331866486238,6.20000566359049,426.89596767515064,ranked_420_plus_440,90,8+,0.5295060534422237,0.5265776457866308,0.5324324311818064
KR,2,21886,11442,3.8815087775522197,2.5,686.7317192997385,5.996392176785448,409.11697496932516,ranked_420_plus_440,90,2,0.5227999634469523,0.5161792100655149,0.5294127144752563
EU,5,46115,24619,3.8426236645161276,2.5,742.1049381361338,6.229889619112827,426.7422091226834,solo420_only,30,5,0.5338609996747262,0.5293053559029958,0.5384110025573204
KR,3,13920,7333,3.8690546352295105,2.5454545454545454,694.9642796573809,6.035305066151928,412.0100533151238,solo420_only,30,3,0.5267959770114943,0.5184955364668427,0.535081632032689
KR,4,8975,4855,3.863811045145799,2.5714285714285716,699.4583240772181,6.043849017349426,413.5612837244853,solo420_only,30,4,0.5409470752089136,0.5306221992478259,0.5512369140209517
KR,6,4126,2192,3.743810601420692,2.5,700.6612900372114,6.043959712239123,413.4704305835475,solo420_only,30,6,0.5312651478429472,0.5160165275292407,0.5464556042880603
